# Experiment Info:
# Start_Time: 20250117_132136
# OSC_IP: 127.0.0.1
# OSC_Port: 5002
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\ShamScenes_20250117_132136.txt
#
# Format for break lines:
# BREAK,<time>,<reason>,<details>
#
Timestamp,Trial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error,EEGConnected
1737117350.602537,311,checkerboard225.png,1737117350.004878,1737117350.602537,0.597659,1.936386,1.953010,0.016624,1
1737117352.968562,312,checkerboard225_inverted.png,1737117352.367025,1737117352.968562,0.601537,1.742143,1.764488,0.022344,1
1737117354.917547,313,checkerboard225.png,1737117354.313327,1737117354.917547,0.604220,1.312131,1.344765,0.032633,1
1737117357.536609,314,checkerboard225_inverted.png,1737117356.935441,1737117357.536609,0.601168,2.005625,2.017893,0.012268,1
1737117360.584767,315,checkerboard225.png,1737117359.985650,1737117360.584767,0.599117,2.440624,2.449040,0.008416,1
1737117363.613635,316,checkerboard225_inverted.png,1737117363.008596,1737117363.613635,0.605040,2.405003,2.423829,0.018826,1
1737117365.843944,317,checkerboard225.png,1737117365.242481,1737117365.843944,0.601463,1.611741,1.628845,0.017105,1
1737117367.815681,318,checkerboard225_inverted.png,1737117367.215333,1737117367.815681,0.600348,1.362886,1.371390,0.008504,1
1737117370.802861,319,checkerboard195.png,1737117370.205518,1737117370.802861,0.597343,2.372670,2.389837,0.017167,1
1737117374.198328,320,checkerboard195_inverted.png,1737117373.594175,1737117374.198328,0.604153,2.736809,2.791314,0.054505,1
1737117377.506799,321,checkerboard255.png,1737117376.906365,1737117377.506799,0.600434,2.688771,2.708037,0.019266,1
1737117380.745753,322,checkerboard255_inverted.png,1737117380.143971,1737117380.745753,0.601782,2.613757,2.637172,0.023415,1
1737117382.483568,323,checkerboard195.png,1737117381.882960,1737117382.483568,0.600609,1.118373,1.137207,0.018833,1
1737117386.031198,324,checkerboard195_inverted.png,1737117385.426228,1737117386.031198,0.604970,2.936647,2.942660,0.006013,1
1737117387.841822,325,checkerboard195.png,1737117387.236840,1737117387.841822,0.604983,1.189722,1.205642,0.015920,1
1737117390.535947,326,checkerboard195_inverted.png,1737117389.936302,1737117390.535947,0.599645,2.071526,2.094480,0.022954,1
1737117392.365147,327,checkerboard225.png,1737117391.763385,1737117392.365147,0.601762,1.173113,1.227438,0.054326,1
1737117395.871729,328,checkerboard225_inverted.png,1737117395.270123,1737117395.871729,0.601607,2.881883,2.904975,0.023092,1
1737117398.199030,329,checkerboard195.png,1737117397.597510,1737117398.199030,0.601520,1.704390,1.725781,0.021391,1
1737117401.279424,330,checkerboard195_inverted.png,1737117400.676816,1737117401.279424,0.602608,2.446675,2.477786,0.031111,1
1737117404.525402,331,checkerboard195.png,1737117403.920297,1737117404.525402,0.605105,2.620300,2.640873,0.020572,1
1737117406.923473,332,checkerboard195_inverted.png,1737117406.321773,1737117406.923473,0.601700,1.783855,1.796371,0.012517,1
1737117409.628101,333,checkerboard195.png,1737117409.024704,1737117409.628101,0.603397,2.090393,2.101231,0.010839,1
1737117413.055895,334,checkerboard195_inverted.png,1737117412.448538,1737117413.055895,0.607357,2.810463,2.820437,0.009973,1
1737117415.383574,335,checkerboard255.png,1737117414.780513,1737117415.383574,0.603061,1.709336,1.724618,0.015282,1
1737117418.349563,336,checkerboard255_inverted.png,1737117417.746389,1737117418.349563,0.603174,2.343334,2.362815,0.019481,1
1737117421.034470,337,checkerboard255.png,1737117420.432781,1737117421.034470,0.601689,2.070650,2.083217,0.012567,1
1737117424.451907,338,checkerboard255_inverted.png,1737117423.856592,1737117424.451907,0.595315,2.808056,2.822123,0.014066,1
