# Experiment Info:
# POSIX_Start: 1738668221.931160
# System_Time: 20250204_122341
# Display_Hz: 60.0
# ITI_Range: 1.005006 - 3.004990
# Images_N: 51
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\EmoScenes_20250204_122341.txt
#
# Format for break lines:
# BREAK,<POSIX_time>,<reason>,<details>
#
Timestamp,BlockTrial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error
1738668498.903611,t103,highpos_08.jpg,1738668498.309168,1738668498.903611,0.594443,1.616998,1.622023,0.005025
1738668501.443629,t104,neutral_09.jpg,1738668500.839637,1738668501.443629,0.603992,1.919276,1.936025,0.016750
1738668503.829601,t105,neutral_04.jpg,1738668503.227419,1738668503.829601,0.602182,1.774611,1.783790,0.009180
1738668505.733195,t106,highpos_27.jpg,1738668505.133754,1738668505.733195,0.599441,1.281989,1.304153,0.022163
1738668509.224504,t107,highpos_07.jpg,1738668508.618052,1738668509.224504,0.606453,2.867284,2.884857,0.017573
1738668511.560442,t108,highpos_26.jpg,1738668510.959607,1738668511.560442,0.600835,1.715928,1.735102,0.019174
1738668514.912881,t109,neutral_23.jpg,1738668514.312153,1738668514.912881,0.600729,2.731782,2.751711,0.019929
1738668516.573417,t110,neutral_17.jpg,1738668515.973242,1738668516.573417,0.600175,1.037151,1.060361,0.023210
1738668520.193492,t111,neutral_21.jpg,1738668519.594526,1738668520.193492,0.598966,2.991961,3.021109,0.029148
1738668521.974798,t112,neutral_19.jpg,1738668521.374640,1738668521.974798,0.600157,1.159373,1.181149,0.021775
1738668524.290401,t113,neutral_16.jpg,1738668523.688231,1738668524.290401,0.602170,1.682661,1.713433,0.030772
1738668527.825842,t114,highpos_09.jpg,1738668527.223750,1738668527.825842,0.602092,2.920716,2.933349,0.012632
1738668529.918882,t115,neutral_14.jpg,1738668529.318413,1738668529.918882,0.600470,1.460993,1.492571,0.031578
1738668532.637078,t116,neutral_18.jpg,1738668532.019341,1738668532.637078,0.617736,2.076914,2.100459,0.023545
1738668534.694498,t117,neutral_03.jpg,1738668534.094373,1738668534.694498,0.600126,1.441241,1.457295,0.016054
1738668537.098449,t118,highpos_15.jpg,1738668536.492488,1738668537.098449,0.605961,1.786304,1.797990,0.011686
1738668539.530820,t119,highpos_01.jpg,1738668538.929413,1738668539.530820,0.601407,1.825084,1.830964,0.005880
1738668541.741333,t120,highpos_29.jpg,1738668541.137944,1738668541.741333,0.603389,1.589544,1.607124,0.017581
1738668545.147607,t121,neutral_06.jpg,1738668544.537579,1738668545.147607,0.610028,2.774214,2.796246,0.022032
1738668548.553320,t122,highpos_06.jpg,1738668547.950141,1738668548.553320,0.603179,2.798014,2.802535,0.004520
1738668550.617718,t123,highpos_05.jpg,1738668550.016570,1738668550.617718,0.601147,1.433440,1.463250,0.029810
1738668552.608950,t124,neutral_24.jpg,1738668552.008192,1738668552.608950,0.600759,1.362082,1.390474,0.028393
1738668556.119307,t125,neutral_12.jpg,1738668555.515588,1738668556.119307,0.603719,2.884792,2.906638,0.021846
1738668558.252806,t126,highpos_14.jpg,1738668557.652450,1738668558.252806,0.600356,1.524925,1.533143,0.008218
1738668560.605872,t127,highpos_10.jpg,1738668559.994684,1738668560.605872,0.611188,1.715380,1.741879,0.026498
1738668563.613226,t128,neutral_20.jpg,1738668563.013296,1738668563.613226,0.599930,2.399694,2.407424,0.007730
1738668565.805137,t129,neutral_02.jpg,1738668565.202991,1738668565.805137,0.602146,1.569839,1.589765,0.019926
1738668567.591134,t130,neutral_22.jpg,1738668566.985702,1738668567.591134,0.605433,1.164644,1.180565,0.015920
1738668569.362848,t131,neutral_08.jpg,1738668568.759956,1738668569.362848,0.602892,1.143709,1.168822,0.025113
1738668571.242212,t132,highpos_16.jpg,1738668570.647460,1738668571.242212,0.594753,1.268573,1.284612,0.016039
1738668573.748515,t133,highpos_13.jpg,1738668573.148103,1738668573.748515,0.600412,1.873543,1.905891,0.032348
1738668576.007439,t134,highpos_19.jpg,1738668575.405829,1738668576.007439,0.601610,1.632810,1.657313,0.024503
1738668577.661577,t135,neutral_15.jpg,1738668577.054243,1738668577.661577,0.607334,1.025603,1.046804,0.021202
1738668580.390074,t136,neutral_25.jpg,1738668579.784001,1738668580.390074,0.606072,2.117775,2.122424,0.004649
1738668582.379806,t137,highpos_03.jpg,1738668581.772116,1738668582.379806,0.607689,1.357005,1.382043,0.025038
1738668584.437712,t138,highpos_25.jpg,1738668583.824315,1738668584.437712,0.613397,1.437764,1.444509,0.006745
1738668586.720076,t139,neutral_13.jpg,1738668586.120014,1738668586.720076,0.600061,1.676038,1.682303,0.006264
1738668590.334440,t140,highpos_12.jpg,1738668589.732243,1738668590.334440,0.602197,2.991955,3.012167,0.020213
1738668592.690187,t141,highpos_11.jpg,1738668592.082140,1738668592.690187,0.608047,1.729898,1.747700,0.017802
1738668594.568490,t142,neutral_05.jpg,1738668593.966200,1738668594.568490,0.602290,1.254136,1.276013,0.021878
1738668597.861002,t143,neutral_07.jpg,1738668597.258787,1738668597.861002,0.602215,2.673131,2.690298,0.017167
1738668601.271430,t144,neutral_01.jpg,1738668600.670109,1738668601.271430,0.601321,2.782686,2.809107,0.026421
1738668603.059118,t145,highpos_24.jpg,1738668602.452102,1738668603.059118,0.607016,1.160378,1.180672,0.020294
1738668606.123693,t146,highpos_17.jpg,1738668605.524282,1738668606.123693,0.599411,2.440212,2.465164,0.024952
1738668609.685577,t147,neutral_10.jpg,1738668609.083691,1738668609.685577,0.601886,2.932055,2.959998,0.027943
1738668611.430136,t148,highpos_22.jpg,1738668610.830425,1738668611.430136,0.599712,1.117829,1.144848,0.027019
1738668613.647927,t149,neutral_11.jpg,1738668613.049084,1738668613.647927,0.598842,1.599659,1.618948,0.019290
1738668616.750035,t150,highpos_28.jpg,1738668616.143552,1738668616.750035,0.606483,2.466555,2.495625,0.029070
1738668620.201775,t151,highpos_04.jpg,1738668619.594550,1738668620.201775,0.607224,2.832546,2.844516,0.011970
1738668622.930609,t152,highpos_02.jpg,1738668622.330601,1738668622.930609,0.600008,2.110691,2.128827,0.018136
1738668625.799325,t153,highpos_08.jpg,1738668625.201677,1738668625.799325,0.597648,2.240586,2.271069,0.030482
1738668627.501873,t154,neutral_09.jpg,1738668626.900443,1738668627.501873,0.601431,1.081488,1.101118,0.019630
1738668630.718089,t155,neutral_04.jpg,1738668630.116091,1738668630.718089,0.601998,2.598387,2.614217,0.015830
1738668632.612609,t156,highpos_27.jpg,1738668632.011065,1738668632.612609,0.601544,1.287741,1.292976,0.005235
1738668635.085147,t157,highpos_07.jpg,1738668634.482109,1738668635.085147,0.603038,1.858345,1.869500,0.011154
1738668636.823993,t158,highpos_26.jpg,1738668636.221164,1738668636.823993,0.602830,1.110924,1.136017,0.025093
1738668638.650106,t159,neutral_23.jpg,1738668638.051247,1738668638.650106,0.598860,1.201121,1.227253,0.026132
1738668642.272953,t160,neutral_17.jpg,1738668641.676712,1738668642.272953,0.596241,2.993255,3.026606,0.033351
1738668644.342980,t161,neutral_21.jpg,1738668643.730747,1738668644.342980,0.612233,1.433400,1.457794,0.024395
1738668646.072174,t162,neutral_19.jpg,1738668645.474230,1738668646.072174,0.597944,1.124319,1.131250,0.006931
1738668649.632115,t163,neutral_16.jpg,1738668649.032677,1738668649.632115,0.599438,2.933485,2.960503,0.027018
1738668651.560814,t164,highpos_09.jpg,1738668650.958838,1738668651.560814,0.601976,1.305445,1.326723,0.021278
1738668653.880529,t165,neutral_14.jpg,1738668653.285342,1738668653.880529,0.595187,1.706053,1.724528,0.018475
1738668656.001057,t166,neutral_18.jpg,1738668655.390254,1738668656.001057,0.610803,1.474972,1.509725,0.034753
1738668658.846251,t167,neutral_03.jpg,1738668658.234943,1738668658.846251,0.611308,2.228758,2.233885,0.005127
1738668661.512634,t168,highpos_15.jpg,1738668660.911030,1738668661.512634,0.601604,2.048371,2.064779,0.016408
1738668663.234337,t169,highpos_01.jpg,1738668662.633573,1738668663.234337,0.600765,1.106120,1.120939,0.014819
1738668665.659544,t170,highpos_29.jpg,1738668665.053380,1738668665.659544,0.606164,1.801292,1.819042,0.017751
1738668668.155186,t171,neutral_06.jpg,1738668667.549027,1738668668.155186,0.606159,1.878555,1.889484,0.010928
