CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1730815172.188023,1730815173.749777,0.600000,2.157537,2.156986,-0.000551,0,121,highpos_08.jpg
1730815174.342741,1730815176.736315,0.600000,2.997298,2.986538,-0.010760,0,122,neutral_21.jpg
1730815177.331868,1730815179.555948,0.600000,2.824978,2.819633,-0.005345,0,123,highpos_16.jpg
1730815180.149771,1730815181.512643,0.600000,1.956718,1.956695,-0.000023,0,124,highneg_13.jpg
1730815182.108077,1730815182.838348,0.600000,1.323680,1.325705,0.002025,0,125,lowneg_24.jpg
1730815194.499224,1730815196.342493,0.600000,2.444463,13.504145,11.059682,1,1,highpos_25.jpg
1730815196.941923,1730815197.738717,0.600000,1.394643,1.396224,0.001581,1,2,lowpos_04.jpg
1730815198.337468,1730815200.714770,0.600000,2.979330,2.976053,-0.003277,1,3,lowpos_16.jpg
1730815201.313999,1730815201.709607,0.600000,1.001390,0.994837,-0.006553,1,4,lowneg_03.jpg
1730815202.309127,1730815203.045503,0.600000,1.339788,1.335896,-0.003892,1,5,lowpos_32.jpg
1730815203.644977,1730815205.759265,0.600000,2.720891,2.713762,-0.007129,1,6,neutral_21.jpg
1730815206.353651,1730815207.309028,0.600000,1.550353,1.549763,-0.000590,1,7,highpos_19.jpg
1730815207.903426,1730815209.731092,0.600000,2.426975,2.422064,-0.004911,1,8,lowpos_20.jpg
1730815210.325882,1730815211.780673,0.600000,2.059497,2.049581,-0.009916,1,9,lowpos_24.jpg
1730815212.377568,1730815213.768025,0.600000,1.985723,1.987352,0.001629,1,10,highpos_16.jpg
1730815214.361113,1730815216.432583,0.600000,2.674662,2.664558,-0.010104,1,11,lowneg_19.jpg
1730815217.024965,1730815218.915616,0.600000,2.498537,2.483033,-0.015504,1,12,lowpos_18.jpg
1730815219.509828,1730815219.940306,0.600000,1.030011,1.024690,-0.005321,1,13,highneg_21.jpg
1730815220.539503,1730815221.411677,0.600000,1.478332,1.471371,-0.006961,1,14,highpos_10.jpg
1730815222.006177,1730815223.935374,0.600000,2.537781,2.523697,-0.014084,1,15,lowneg_07.jpg
1730815224.532565,1730815225.731473,0.600000,1.808564,1.796099,-0.012465,1,16,neutral_19.jpg
1730815226.328514,1730815228.152170,0.600000,2.323200,2.420697,0.097497,1,17,highneg_11.jpg
1730815228.642975,1730815229.789488,0.600000,1.749831,1.637318,-0.112513,1,18,lowpos_14.jpg
1730815230.384367,1730815231.364428,0.600000,1.588228,1.574940,-0.013288,1,19,lowneg_13.jpg
1730815231.957595,1730815232.491216,0.600000,1.137113,1.126788,-0.010325,1,20,lowpos_22.jpg
1730815233.086032,1730815233.777239,0.600000,1.296702,1.286023,-0.010679,1,21,highneg_02.jpg
1730815234.371566,1730815234.950561,0.600000,1.186018,1.173322,-0.012696,1,22,highpos_13.jpg
1730815235.543241,1730815237.184857,0.600000,2.234743,2.234296,-0.000447,1,23,lowneg_11.jpg
